NPC,PEF,PV_kWp,BESS_kWh
1160372.9042382517,4091346816.016425,35.38829470822778,50.4841973902709
3483723.05986486,2985163036.5142155,3737.3027265150267,1292.4003424750786
1251595.8767673352,3746270271.9070635,225.65719765224026,1.1262333537277982
1601830.302137052,3229317870.1475706,1001.1374121352627,1.1166458954278748
1271588.4013816153,3536929044.310839,326.3882489559129,1.1262333537277982
1703895.8593926434,3114536509.0449953,1632.734162588109,4.7793816852199775
1276466.9780939783,3536929042.3851824,324.46259451236796,14.175661495345798
1293280.9168709908,3385526308.12588,472.22504539654716,5.088741638189291
1359103.50737852,3326006974.1329427,585.2218222972413,1.8924551590453094
1465679.7075337307,3250528384.3329525,842.1753370897908,1.055279213711224
3291237.928600979,2985309157.3880143,3576.786323976508,1292.4003424750786
2693010.045605156,3003881145.085466,2847.1477770797705,1069.6398876021428
2013940.094317451,3049185824.860662,2679.5129158587815,1.0338376175435529
1763646.4058514412,3101441521.316872,1790.1803827610681,1.0042366500803546
2300526.3042040765,3040152868.0756593,3082.0185190454786,4.7793816852199775
2778793.682010611,2997993231.5396953,3093.661076099011,1019.3272079549702
2135872.5911942804,3044512479.7696686,2821.8088159157064,1.0652150133975518
3194208.673400351,2986604113.2468967,3495.517950104165,1227.6210443978741
1958163.6886131421,3072910515.851522,2318.0316823492412,1.0327826435906045
2563179.077870609,3009583537.5335054,2695.629256351521,1047.042615491846
2429723.018992279,3035260961.4707117,2324.447822659232,865.2578727849257
1297535.801394121,3385526307.1730475,471.27221332654614,14.78491198203546
2939253.4024229855,2996574025.579204,3082.5552738825513,1340.1226134273297
2214350.637200713,3043280323.629734,2897.4634590892624,12.293048492229724
3074411.092942828,2995567346.3294563,3264.379746649243,1185.803779366189
2897353.3470483427,2996574057.952316,3114.928385140615,1191.328598043522
1885811.6903050416,3089666085.9405947,2025.8349298005814,1.6224285466705766
1454359.5616081834,3305584399.9651914,681.6598008501142,5.0068458407679985
3087570.693563708,2988023300.9268146,3488.343180536551,1043.9178265428443
2461821.9370840145,3021637279.5827694,2521.5201947100145,875.1521895370495
