PV_kWp,BESS_kWh,E_import_grid_kWh,E_import_ec_pv_kWh,E_import_ec_ev_kWh,E_export_grid_kWh,E_bess_throughput_kWh,E_hp_heat_kWh,E_hp_cool_kWh,E_pv_gen_kWh,E_ev_charged_kWh,E_ev_discharged_kWh,E_ev_trip_loss_kWh,location,use_v2h,lifetime_y
383.0,2742.0,617945.425170538,21953172.264670108,11552569.52590762,1592798.7560632434,132928.9569400711,198237.7593860627,71342.03839463412,10408785.176845714,22346482.25132325,10795848.192314185,10662046.59485068,Vienna,True,25
484.0,1256.0,685246.5966066468,20924397.603970736,11130806.540776849,3377514.650828355,172821.5371568703,198237.7593860627,71342.03839463412,13153660.641235841,21977264.518919174,10401711.706020117,10660408.624718687,Vienna,True,25
1132.0,3807.0,880827.1685927751,17834987.33321866,9897273.420727767,18197929.042281784,274988.54328237387,198237.7593860627,71342.03839463412,30764346.789006136,20856422.84868376,9248977.99821798,10654672.162060201,Vienna,True,25
1260.0,3588.0,900440.0979209371,17552464.263813592,9770187.043012584,21396773.08125507,286601.41159691394,198237.7593860627,71342.03839463412,34243000.84288669,20761461.883404113,9130216.086588932,10658352.848671988,Vienna,True,25
1806.0,1099.0,965530.0025423316,16558666.823793221,9381893.260467086,35306794.49160385,322669.59897470375,198237.7593860627,71342.03839463412,49081634.541470915,20417781.33200325,8767356.488905506,10670081.335214471,Vienna,True,25
2055.0,374.0,985835.7288758631,16238742.735688414,9263339.29840189,41784169.82615806,334076.4580322911,198237.7593860627,71342.03839463412,55848703.75566042,20304552.596337162,8656568.098999439,10661446.647713365,Vienna,True,25
2676.0,2923.0,1023684.7398763775,15641015.80074269,9049885.507147396,58121100.303244226,358942.8450163571,198237.7593860627,71342.03839463412,72725611.31394029,20122176.095652327,8457096.048968524,10666053.320356153,Vienna,True,25
3137.0,459.0,1045048.3077273578,15308013.26652543,8939615.314382073,70344904.60210082,372500.50890278275,198237.7593860627,71342.03839463412,85254201.30486947,20008736.423356004,8354048.821374529,10652961.246743388,Vienna,True,25
3370.0,1963.0,1053274.6913256226,15178326.99342434,8893540.242695501,76559779.45253468,376253.79900630686,198237.7593860627,71342.03839463412,91586438.76232393,19975926.434044093,8310991.7786739655,10658911.765731972,Vienna,True,25
3983.0,2091.0,1071089.0458477593,14892013.278379442,8794805.128147518,92965120.68296546,389074.9498991662,198237.7593860627,71342.03839463412,108245930.44223624,19880083.953120988,8218724.053686866,10658801.687466811,Vienna,True,25
