Mode,PV_kWp,BESS_kWh,NPC,PEF,Grid_Import_kWh,Grid_Export_kWh,HP_Heating_kWh,HP_Cooling_kWh
FAST,16.580546098333905,13.179962116903315,69632.88366634812,181103726.40376002,270221.8513131897,199108.06790988095,198237.7593860627,71342.03839463412
FAST,19.953958702691043,3.000014803569437,71316.86998908417,113968352.7902607,308761.88477893395,348419.3597249286,198237.7593860627,71342.03839463412
FAST,17.625806323190176,3.0008236809915463,70966.8117331891,114628634.45823294,313144.97009703645,289656.64890535857,198237.7593860627,71342.03839463412
FAST,14.467539640582673,3.170709384576213,70665.87458969926,116762583.60114376,319755.1835000707,210349.33396807683,198237.7593860627,71342.03839463412
FAST,14.16868570773471,7.939759123046783,70001.32872055945,148674091.51003134,298784.9818700534,172072.3153955336,198237.7593860627,71342.03839463412
FAST,18.626327923844187,3.000014803569437,71101.25848901685,114326411.77205989,311151.1588744591,314820.7867936325,198237.7593860627,71342.03839463412
FAST,15.052549138254712,3.8561223332331824,70580.50977284154,121616699.44187188,314891.5183447204,219779.8863043627,198237.7593860627,71342.03839463412
FAST,15.15423926154743,5.619967013133522,70295.46125163822,133830576.54604343,306184.4809860248,210329.0268766907,198237.7593860627,71342.03839463412
FAST,15.155037232553571,6.429694630170269,70182.0598280968,139264566.23762408,302462.7265385247,205053.74195294947,198237.7593860627,71342.03839463412
FAST,16.037817543871355,11.68570892759275,69681.27142709307,172674936.6251984,277472.970393087,194050.10673952865,198237.7593860627,71342.03839463412
FAST,14.693065454305245,10.424340309073537,69786.76125652864,164374154.97188687,286792.39652465127,169458.39740609293,198237.7593860627,71342.03839463412
FAST,16.737186188492416,10.819906510842923,69746.14536056988,168121401.98186386,278858.00887843117,215638.65982458985,198237.7593860627,71342.03839463412
FAST,14.96879913716591,7.123925339802768,70087.12034273401,143779142.68738255,299867.5153893969,196138.07793263622,198237.7593860627,71342.03839463412
FAST,14.645130618724075,9.626965619339373,69845.01214290682,159525512.36700654,290186.28795561555,173011.84182191457,198237.7593860627,71342.03839463412
FAST,19.93984816422704,3.00266557402188,71313.90632381769,113992524.52101088,308772.55733975675,348041.06237099535,198237.7593860627,71342.03839463412
FAST,13.963335665135174,8.816486690139213,69944.07873242625,154096052.91892514,295857.73688550916,161904.90696131648,198237.7593860627,71342.03839463412
FAST,14.424629878141701,5.250300027809274,70327.54703774219,131315966.38549879,309939.08115020866,195140.86872375803,198237.7593860627,71342.03839463412
FAST,14.178884866250959,7.299287174219504,70078.81616199749,144622889.47789133,301577.67674155306,176275.51871871622,198237.7593860627,71342.03839463412
FAST,15.171009295082092,6.452999403067223,70179.53477040768,139422129.57396016,302312.66297506285,205287.8818927345,198237.7593860627,71342.03839463412
FAST,14.02244405407333,3.2287851138108077,70647.03057919667,117288798.23669305,320732.1901382917,199152.46139653778,198237.7593860627,71342.03839463412
